ID,Region,LocationID,CountryID,ContinentID
0,Global,null,null,null
1,Central US,1,1,1
2,East US,2,1,1
3,East US 2,2,1,1
4,US Gov Iowa,1,1,1
5,US Gov Virginia,2,1,1
6,North Central US,3,1,1
7,South Central US,4,1,1
8,West US,5,1,1
9,North Europe,6,2,2
10,West Europe,7,3,2
11,East Asia,8,4,3
12,Southeast Asia,9,5,3
13,Japan East,10,6,3
14,Japan West,11,6,3
15,Brazil South,12,7,4
16,Australia East,13,8,5
17,Australia Southeast,14,8,5
